id,record_Number,account_number,account_type,account_limit,account_open_date,account_balance
01JAQ4GD4AX6TGBMJEMTGNFPX7,12,d5278ed6a3e54600e14e06e3b1faa6c8a371a619,investment,Account under review for suspicious activity,10/5/2024,6620.03
01JAQ4GD4BXS9Y7THMFQ4C6KJ9,13,59d0c30001c6d42b5cb4a19075f13877dd745830,savings,Account temporarily restricted due to security concerns,4/24/2024,348.39
01JAQ4GD4CK4KGVX6KG3CS54PG,14,eb902d5cd8dabc4c3ac028b7f2d7ec4a6cc7bd30,investment,Account temporarily restricted due to security concerns,11/11/2023,9315.06
01JAQ4GD4CXM56MZ9Q7A9YC82E,15,f1a43e7d96ee8c59e5e7c97212a912949b556f63,savings,Account exceeded transaction limit,3/23/2024,6969.19
01JAQ4GD4DAD6TN0SDXT2V3301,16,930affbb64fd3cc285df29715e6eb38fc83dd16d,credit,Account under review for suspicious activity,8/28/2024,1714.85
01JAQ4GD4DP1NBZ8WJQQPBJKYJ,17,2ce79811e95c80adf31d2a19e3834ab438bdc52b,credit,Account under review for suspicious activity,12/18/2023,9675.93
01JAQ4GD4EZ60Z149YS1ZS4V3N,18,dcc809ef0898dc1c0593066b488535819bb79b8e,investment,Account exceeded transaction limit,1/15/2024,4270.85
01JAQ4GD4FW08GY11W27812KHW,19,4a030cd0c3aa647ffc098e7459b858dadcf39159,savings,Account temporarily restricted due to security concerns,3/18/2024,8713.2
01JAQ4GD4FYME9687FQH7VRD3F,20,f1b26feebd06f546bdd8cf1ebd5358b395843179,investment,Account temporarily restricted due to security concerns,9/8/2024,4175.99
01JAQ4GD4GK5ZTP5WRJ586RYPH,21,87e7c3caefd4bfc64e99b42683baa9f94356ca59,savings,Account under review for suspicious activity,12/29/2023,7133.93
01JAQ4GD4HVVSTBXENS07N2H1H,22,db6183f8dc6664bf8dc32ca8a1737336fedee8cb,savings,Account under review for suspicious activity,4/14/2024,9581.38
01JAQ4GD4H0GGMWACDZG8DZECJ,23,20daf6c3411bcec4d5044c7a5860f5a4eae63648,credit,Account temporarily restricted due to security concerns,7/9/2024,8217.02
01JAQ4GD4JKRV566HWW5THPP4F,24,3478be0afb08ac0095697c4f348c065cbe6fbdad,savings,Account exceeded transaction limit,2/24/2024,7259.87
01JAQ4GD4JGPZW2FETJBJWCR0B,25,361ffc09087cc0ee9438ff0f333681e787addc96,checking,Account temporarily restricted due to security concerns,1/4/2024,7437.4
01JAQ4GD4KH8B0JNM0EHP4QE8N,26,7b1fc2985fac89807924ee2295f2b3ececaeea31,checking,Account under review for suspicious activity,12/15/2023,5600.65
01JAQ4GD4M7GWP6BG5BD2AEDFH,27,a4fce8ca7c315c6c2ad1b157aed2f00385fcd17e,credit,Account under review for suspicious activity,4/24/2024,8785.6
01JAQ4GD4M4P8606N7T27VGFQA,28,5ca8f88716ce13e70d2381af05beaf15a6036f97,savings,Account exceeded transaction limit,4/24/2024,2350.16
01JAQ4GD4NR44Z55BKFHXXQW23,29,538194ea9f2b74c9b23c30ff3f695c5859a3c9f1,investment,Account under review for suspicious activity,9/9/2024,5542.68
01JAQ4GD4P5SVXXYSCA69MQ8QH,30,940b2de5d94a3f3f3dcba38e6020bd20a9e7404e,investment,Account exceeded transaction limit,2/7/2024,9077.29
01JAQ4GD4PXYP8TCX6V06FMJCQ,31,f1826a610f8bb1f1d4df80b4cdc55d4a9ec181cd,investment,Account under review for suspicious activity,12/19/2023,3796.21
01JAQ4GD4QTEHH75KHA6JD3YCS,32,47ef96205becc85961923cf8f06b9386af42aaca,investment,Account exceeded transaction limit,10/18/2024,2183.09
01JAQ4GD4QX55KGRT12E0HHWT4,33,4b5dfc55bbc244d938d1bd1ae986e33bb7ae0dae,investment,Account temporarily restricted due to security concerns,7/4/2024,7893.16
01JAQ4GD4R9F5GF9XHC3PDVSVG,34,695a515c699fcd745a2e5354cbc74fa64509ecb4,investment,Account temporarily restricted due to security concerns,5/14/2024,9354.13
01JAQ4GD4SXM8NCFAJJDZMHTVX,35,ea794c5a2ad6578eb7b8abd0851657b8205cdc51,credit,Account exceeded transaction limit,6/30/2024,237.26
01JAQ4GD4SYPXJR1E0CG9PEYRE,36,f988018dd5fd2f8f7176314087bcb558ba6a907e,credit,Account under review for suspicious activity,6/8/2024,3596.64
01JAQ4GD4T0KEFKPSC8E7BK494,37,ad2ca8c2a89f5faf582059a52c9a1ff93e68e576,checking,Account under review for suspicious activity,5/8/2024,2838.37
01JAQ4GD4VRGS5K97TQGB6KSWP,38,ba1ed5dd9017bda717ec766594975aee511aacbd,checking,Account under review for suspicious activity,9/24/2024,6513.92
01JAQ4GD4W7ABT8X87NQTZKJTP,39,d66cf2e8088379a13f905f976584876d489b7706,credit,Account temporarily restricted due to security concerns,4/13/2024,8783.24
01JAQ4GD4XA3F4S87Y2KRYQAMB,40,3c9e0b799c8a4b76a5b2ad30910c8ccd02c0cf60,investment,Account under review for suspicious activity,12/9/2023,111.51
01JAQ4GD4XJRVZCC1P627AY0CT,41,dfca9f24f3aa7f3e6eb7df6bbc603da0759c03e3,investment,Account under review for suspicious activity,3/4/2024,7.05
01JAQ4GD4YPPVZS42XNCDMQ5NX,42,528fdffe2ea049f65bdea41f83842c2b89a5be88,savings,Account under review for suspicious activity,6/17/2024,7048.96
01JAQ4GD50JZQAD9771C8PTZRZ,43,4c6e55b2ecdaf0457af2738627130d84a34bb6ed,credit,Account temporarily restricted due to security concerns,2/12/2024,455.25
01JAQ4GD50MYSRZ93S333CYFGX,44,cd7370dc922d72f6dad2b8a06accd99c1a9ba6ef,checking,Account under review for suspicious activity,12/16/2023,2207.6
01JAQ4GD51QKD5H4W8BET55SSH,45,cc70b8fa3ac36d76a5303de8d1169f027351955e,investment,Account exceeded transaction limit,6/27/2024,7982.03
01JAQ4GD523YEZVTDH35A8CNYG,46,cd84ac0400a25e624559414a04384b3e5cde3673,checking,Account temporarily restricted due to security concerns,9/10/2024,9000.38
01JAQ4GD52V4BFNSXGAGPM1HYJ,47,21620dd39546a44dbbe7369c64cb15765e282302,investment,Account under review for suspicious activity,3/8/2024,9761.95
01JAQ4GD53F4Z7Q0YW3CWF3FES,48,33ecad31895360d5ffe5d01095a4d7df9ba68fb4,checking,Account temporarily restricted due to security concerns,11/5/2023,8702.75
01JAQ4GD530NB5MNAJS3AE6V3R,49,06217826d5b7027550ca8546d95562a4c088c794,credit,Account under review for suspicious activity,7/30/2024,4982.95
01JAQ4GD54Z4W17PW1CHJYAMCG,50,1ef32ac6b828af689bfe85f06c9ff93af211c1cc,checking,Account exceeded transaction limit,3/17/2024,9225.03
01JAQ4GD55XHNY78TGN48VNDBA,51,3f0295f9c8b8539b7954693a065aeb4963066b08,savings,Account exceeded transaction limit,6/29/2024,8716.71
01JAQ4GD55ER2XT22DJBGJGWK3,52,2e73eadf12856b7fa7077c9b380ee40d1217c0b7,checking,Account exceeded transaction limit,4/9/2024,1058.43
01JAQ4GD56BBXMRZJ0J85NZQ5X,53,69869b325f8aee2ad23460e71f113c700c42a087,savings,Account exceeded transaction limit,6/8/2024,6683.79
01JAQ4GD56AFV3PGXG2K5SGNP0,54,7720272a15427971ec3ae27f61f93b5221c7eab1,investment,Account under review for suspicious activity,3/14/2024,9584.03
01JAQ4GD57NRJS1RS1J6PAYS9V,55,f6fe5c4dbbc461eb560b86f37672bb3735e23357,credit,Account under review for suspicious activity,2/16/2024,3159.47
01JAQ4GD58PJA29BJ9FEH7KKXC,56,5cb0ed51fc763fd276b8031e8dfcb0c540ee8975,savings,Account temporarily restricted due to security concerns,10/27/2023,479.25
01JAQ4GD58CZ3DCBMMHV5SBAWD,57,d32f5e99c302d3f05d92cebacbfed87053b812f4,checking,Account under review for suspicious activity,2/25/2024,3363.29
01JAQ4GD59HWRATKXH8HCS91YY,58,df37dc9eaa173a92d7dd3dae4985f7c986e6f002,investment,Account under review for suspicious activity,3/9/2024,3181.24
01JAQ4GD5A6SV74BFR80VFN3BY,59,951da18bc1d44af3087233a0345f0ff194dbf0c2,checking,Account temporarily restricted due to security concerns,5/8/2024,9651.74
01JAQ4GD5A0Q88Z9PWT49YQMB9,60,2ec44d7332a4877af787c6448f2afdde0be4233c,credit,Account under review for suspicious activity,12/24/2023,2836.7
01JAQ4GD5BT5HCZQAQM87ZRF5Z,61,4e56b279412f3dbc3de4fdee9bd48f8adf75fc93,investment,Account under review for suspicious activity,5/25/2024,681.32
01JAQ4GD5CJAJ4DKFTTAYD5T4B,62,a91048df0c1c72143ce62e03b58009ec0a1abf87,investment,Account under review for suspicious activity,1/6/2024,5851.17
01JAQ4GD5CEVXVHH0X21R3H2S0,63,1723727e980f5b8632d2466504defbb63c07d659,investment,Account under review for suspicious activity,12/30/2023,9473.82
01JAQ4GD5E68N49BBZQNR0CCZB,64,e51e3dcbac15aa7f13c057f32903cb5ed51eebee,savings,Account under review for suspicious activity,10/11/2024,167.19
01JAQ4GD5EC58SPVDZ1TVJTT0K,65,938001f9aae9eb19d4b5b6f8b0b366244c9e1c7f,credit,Account exceeded transaction limit,5/14/2024,7381.52
01JAQ4GD5FCWT574CJWZ1S3J42,66,c9899eec76b9e2cecb18777446c531e88dffa851,savings,Account exceeded transaction limit,10/17/2024,8539.16
01JAQ4GD5GCJWB1Z6C5M9BYSAD,67,c364421f825a013757b85c09a7e581ac25d86830,savings,Account under review for suspicious activity,9/2/2024,8859.5
01JAQ4GD5GSGE5XJ4SBB3BFT69,68,8977fbbf8d771e5279607cc0fd4b2afe48be5b6c,savings,Account exceeded transaction limit,8/27/2024,9747.95
01JAQ4GD5HZ6DWC6PJ5QMBJB7M,69,42b1c92d5f6a56399e129ec8f143cae132df26c5,checking,Account under review for suspicious activity,8/21/2024,5674.59
01JAQ4GD5JVSDS9VG8B3276RB0,70,4df123ffc299e95ba6ec7ab92b7384df0057945f,investment,Account under review for suspicious activity,2/27/2024,3069.41
01JAQ4GD5JV5Z15WCZAV39G1AV,71,22b5cb8a7339fed1549b58ed6a16be2b11e4883b,savings,Account temporarily restricted due to security concerns,3/4/2024,2736.63
01JAQ4GD5KS2CREHKSYFAEFH00,72,a2d2286fbb9f1d7be2b783d2f1ffa6bd7fdaabe4,savings,Account exceeded transaction limit,5/2/2024,3775.69
01JAQ4GD5MTTNHC8HTSR9Z2NQ7,73,7ae3c99bab2bbe7e26f793d10a16c18d233651d7,checking,Account temporarily restricted due to security concerns,3/28/2024,8427.28
01JAQ4GD5MTWPTD7MTBCHN9YMZ,74,b4bad5d5d2fe6e579359154827276121332730ea,checking,Account under review for suspicious activity,8/27/2024,5988.09
01JAQ4GD5N3XQ6JP7JGKKYRJ2F,75,dc9c5ad6dea3bb6db958060bc4244f86d707bb8e,checking,Account temporarily restricted due to security concerns,4/29/2024,9299.89
01JAQ4GD5P5CXVJW9J3EJ62M93,76,c303e87a88432978b55c557030f1b85c3e706302,checking,Account under review for suspicious activity,5/4/2024,6363.35
01JAQ4GD5PYN9PX7MT00N9F9P6,77,6fde2adf6d0318521988d408e41f35aff7378469,credit,Account under review for suspicious activity,11/9/2023,5231.96
01JAQ4GD5Q34ZF0P0B1XKBHE4J,78,cd699daa08cb4e6684c82d446fc85a3cc2be5dd6,savings,Account under review for suspicious activity,2/9/2024,3661.52
01JAQ4GD5Q7RC24169MYJB8MNC,79,c134dd9390d62413d07a9e4a0ed0d71d4047ee87,savings,Account under review for suspicious activity,4/20/2024,5173.22
01JAQ4GD5RQH6R30BW0E49CNAY,80,743fbfbb3ca1b68cdfc8a8f9bb3be88237ae10a2,credit,Account exceeded transaction limit,12/29/2023,1297.9
01JAQ4GD5S306T79DFHPYWQS1W,81,f260e041cf4d9fc32a76dcb5e3745ab6bf405063,checking,Account under review for suspicious activity,9/20/2024,477.58
01JAQ4GD5S7YXYK3YM3DCFK86A,82,d74b4e3a3a272b2968d9d87c784ee680173b6be0,investment,Account temporarily restricted due to security concerns,8/6/2024,7262.38
01JAQ4GD5TSCJGH07JFBXQTM3V,83,96200ce8649dbc228923e752b8c1e981358afe4d,credit,Account under review for suspicious activity,8/26/2024,3156.86
01JAQ4GD5T488PS9EW3QP961R0,84,ccf7f869796e4572e3d279d3434f27e534b2d2ee,investment,Account temporarily restricted due to security concerns,2/19/2024,1207.97
01JAQ4GD5V1PX4F09SE2SR5HT3,85,b2429ca9d6adbfe6da8e98eb014149d7584ee0d3,investment,Account temporarily restricted due to security concerns,5/29/2024,8174.51
01JAQ4GD5WJR3S8AFG7TKD10VY,86,3f8f0643f6d694d04234597f19e22b684858fdff,credit,Account exceeded transaction limit,9/25/2024,6743.2
01JAQ4GD5WZBWSPE1JZTH7F98M,87,45fac62316ba0f29f4d38edf51f9dd94db941309,savings,Account under review for suspicious activity,3/30/2024,134.22
01JAQ4GD5X3F36CS5VK8Q9K47Z,88,bc510e68b92a8b9633beb3752a1fb8f02ef03b00,credit,Account under review for suspicious activity,11/16/2023,6545.38
01JAQ4GD5Y9XNKEZM2WMC0M8RZ,89,64d2daa2fd9a7007588c717049e66ff43a4e7c1a,investment,Account temporarily restricted due to security concerns,2/4/2024,2512.33
01JAQ4GD5ZR16HYEMG8M8JRJ9T,90,670b30c4b002290c13554615b300ea89c3f886b4,credit,Account under review for suspicious activity,3/9/2024,1566.93
01JAQ4GD609PPGRJP8ETEPVG6V,91,577383888e0b62e279014829e86e985c36d2ac33,investment,Account exceeded transaction limit,1/25/2024,3739.74
01JAQ4GD60RS6ENNCXK1R7YVT4,92,81c278877917612c22b1975a880f14ebd01db2a2,checking,Account under review for suspicious activity,12/22/2023,3395.16
01JAQ4GD61QACDC752SG2HFDP3,93,9793f79daaae7cc3eac3d218a550df5ec29b74de,savings,Account under review for suspicious activity,7/4/2024,9902.69
01JAQ4GD627BH2PWGNCV6M29K2,94,3fc1bfd245703aeaec1b6693245faaff152763ab,savings,Account exceeded transaction limit,1/26/2024,3701.86
01JAQ4GD62RMD2WTVYAJT0P65S,95,f8250702861ca63c7bd1ebe3c10f7c57885f1f4b,savings,Account temporarily restricted due to security concerns,10/26/2023,5524.98
01JAQ4GD63DXMECTSQ4SF211DE,96,495cf9e6dfbf7c7be71e02b578c853b0c1104298,credit,Account under review for suspicious activity,1/25/2024,2718.25
01JAQ4GD63K0RF4940YW26TA5Q,97,78fca8284602e1dd65d587082738b15809fe5c57,investment,Account temporarily restricted due to security concerns,2/29/2024,2704.67
01JAQ4GD64V8DTV8PBY3SCS1S9,98,b33cfa6feffc95c5f9696e0459195c92f893804f,credit,Account temporarily restricted due to security concerns,8/3/2024,4801.04
01JAQ4GD6555QXTN0EY7FH81HS,99,4d3bb16be822ca1c99cea826bfba0434e0225b63,checking,Account under review for suspicious activity,4/21/2024,8893.8
01JAQ4GD65AR89SHHB3EDRMYR3,100,3e8be1c227e68b0e14048aa4334564ef929c1748,checking,Account under review for suspicious activity,3/11/2024,1402.63
01JAQ4GD662MJSTZ97YT54NRJN,101,a70f6794b0e66ff99209656f3cd54ec41acd25aa,credit,Account temporarily restricted due to security concerns,2/24/2024,3650.81
01JAQ4GD67KM1SGM22N2YV59WS,102,3bd2617f3b7de03196e33ecd84e8f1af89d55897,checking,Account temporarily restricted due to security concerns,10/29/2023,2961.39
01JAQ4GD67DG0KZP4HHEAYV3BW,103,32e1a775993d6d4735b661cb634e51dd05fb6a70,investment,Account under review for suspicious activity,2/27/2024,9360.73
01JAQ4GD68274PT9AV5EB3B1BE,104,83b12bf223964d1d281863f02cb896f8e4b63bd5,investment,Account temporarily restricted due to security concerns,1/21/2024,8555.84
01JAQ4GD6997SDEG1E1QGDQXTW,105,565f78e9b59d2824c4247c4046de22cc3664f2e2,checking,Account exceeded transaction limit,8/27/2024,9328.09
01JAQ4GD69Z5WKYV4ZV89DDF8J,106,dab21c4d0f91aadcd4d1a538b16ca98e8ab33097,investment,Account temporarily restricted due to security concerns,4/26/2024,3318.84
01JAQ4GD6AADZPPXJNJX59JE4A,107,266b77f5a47e2d50ddf38ecbe164ce782cfa0470,investment,Account under review for suspicious activity,12/19/2023,3773.87
01JAQ4GD6AD6V00KXFWXQQ0AWX,108,46827dd6a13eeb38d2d26f2fe524522415d5aa5d,investment,Account exceeded transaction limit,10/3/2024,7888.43
01JAQ4GD6BJQPDDSRYMWR4AGDN,109,2e13b4c5fd252b626efa89699025fafd80be02f3,investment,Account exceeded transaction limit,1/20/2024,4232.03
01JAQ4GD6CRP7ZAW53WNWAJSK0,110,318ea7bc8c844783131b6099f1cf1cdc24673162,checking,Account under review for suspicious activity,6/30/2024,3915.66
01JAQ4GD6CGTFE43T0AWG2M9EA,111,17b62f5c207ca1d4c1e1458e909aeb7c52cad7ef,credit,Account exceeded transaction limit,6/30/2024,9490.17
01JAQ4GD6DYB34GHJPMZSAZR8W,112,73c43485b43f4680ace6be076ba9b4ac21469d62,credit,Account temporarily restricted due to security concerns,11/23/2023,7347.56
01JAQ4GD6DC09X2EABKKBTWC6N,113,3da7fd816818e1614642486560dddd96da5cb7a2,credit,Account under review for suspicious activity,8/11/2024,1788.3
01JAQ4GD6EQZNFCJE5NCT3KZWQ,114,8ff0eaf33aafc37b1867c07c276d0288819106bc,checking,Account under review for suspicious activity,5/16/2024,1456.92
01JAQ4GD6FM3HM7QBBF9PK33MQ,115,ad37ffff87a978c0141424c85b0a2a35bb0d80d9,savings,Account temporarily restricted due to security concerns,9/11/2024,8009.61
01JAQ4GD6F9VVB8PM2790603BY,116,3370b02b4f1ddfe21278b6b91e35692dd1301098,checking,Account under review for suspicious activity,1/8/2024,3718.2
01JAQ4GD6G29RWTJAX0XE4M7N6,117,c12450d7e5075a17257b8fe09a8f20986c7033f3,credit,Account temporarily restricted due to security concerns,9/23/2024,2647.48
01JAQ4GD6HKXJ9EMHA2WS48MTX,118,b1c22566bef3f8851051a5ba297756aa97f89b16,savings,Account temporarily restricted due to security concerns,3/14/2024,1022.19
01JAQ4GD6HBGMK63DD6XNRZJRR,119,9fb385ae8531b05e92a80a3ecdcb4f9a48c6f688,checking,Account temporarily restricted due to security concerns,2/3/2024,7848.35
01JAQ4GD6JCBTP7XJPPJT6GEZT,120,8e57c802b243aa0b1ae1cbae050043e5afd8dfda,credit,Account exceeded transaction limit,4/23/2024,1793.09
01JAQ4GD6JT3HFYR1ZTS93KJ47,121,fcdaf2a3b8f8cf03df9b5b0bf6a78f98cb8e5f00,investment,Account exceeded transaction limit,4/5/2024,7949.44
01JAQ4GD6K5XF4HYB07A4FYCRW,122,c204c57046c02145fd9a2485690d98e8d62f75cd,credit,Account exceeded transaction limit,10/12/2024,1265.05
01JAQ4GD6MGCMNESB0FP4QP3TV,123,2b079c2ee0584bb12a5cc052b60eabb809847b13,savings,Account temporarily restricted due to security concerns,1/17/2024,9273.93
01JAQ4GD6MVRRFW5DTZDR2Y3SF,124,11a95cd0af35fe481bd82dd80d4c2f164bc686cf,checking,Account under review for suspicious activity,7/2/2024,8255.66
01JAQ4GD6NYDJAZ81ZAPD8G7NB,125,44342acc6e1e683dd5bcebd042e8d4c15069ed28,checking,Account exceeded transaction limit,5/1/2024,6738.81
01JAQ4GD6N6083K59W3YY45X7W,126,05b6531c4594258a30e0d9c0fc018fa01554a26c,checking,Account exceeded transaction limit,10/7/2024,993.86
01JAQ4GD6PCNN2Q2QASJ05MMFE,127,78aaffe38da848fb7fbff2fe6d99fa08d58a5930,savings,Account under review for suspicious activity,3/10/2024,9044.12
01JAQ4GD6Q667J0NPGTGTP4JSG,128,c77eaaf6f699f460d2da366ffba3ff726dae566c,investment,Account exceeded transaction limit,11/28/2023,9553.1
01JAQ4GD6Q399GKNQ27SKH6ZP3,129,7b8b90ed9002585163005cbb75fb2c045b979c20,credit,Account under review for suspicious activity,12/10/2023,4345.87
01JAQ4GD6RSVJTRPSPWP5RK8J0,130,a3a7b566b1b2431ccec28e76858022678a9e6fd8,credit,Account exceeded transaction limit,8/24/2024,7019.66
01JAQ4GD6SNP77EDNJFCW42DSP,131,6cfe7cd02ff924b3f2416cf15a2e5d44c3cda20a,checking,Account exceeded transaction limit,7/5/2024,8766.76
01JAQ4GD6SN2KG126XRQ5GK1XT,132,efb017c4f9225c1a2244055e764338305a2968c8,investment,Account temporarily restricted due to security concerns,5/28/2024,7657.3
01JAQ4GD6TZC2WNFDBQ65WN77B,133,926bd22046fe5f7c94798feec1671e25ed12fb18,credit,Account temporarily restricted due to security concerns,3/10/2024,9360.39
01JAQ4GD6VBYK1HT67B6HPDYB5,134,62fe1da20f631b430ffdd30688eaf83695de3957,investment,Account temporarily restricted due to security concerns,1/21/2024,7621.35
01JAQ4GD6V3E7DMWT1T4B46YS1,135,bf032dfbeee87da1b7452fb7fd3607f0eff0764b,credit,Account exceeded transaction limit,10/14/2024,3500.67
01JAQ4GD6WFTZSMRZ021H2N9T8,136,ecf81fb87426f117cfb67f0349ded24fa90bf9ab,credit,Account exceeded transaction limit,12/30/2023,4315.43
01JAQ4GD6X2XE0K29Y5Z9DSW69,137,2707d893c14fff297c8639a69370297b498fd8fe,savings,Account under review for suspicious activity,2/20/2024,6821.37
01JAQ4GD6XAZQW680F3ZPKD3S3,138,634a5c6e33689fb57412ca4ce6b5f672697adf6f,credit,Account exceeded transaction limit,8/26/2024,4746.42
01JAQ4GD6Y5KQ8JPVBN8TF62XW,139,27abf58b716bb46f9b9483d5caed528953d74074,credit,Account temporarily restricted due to security concerns,3/24/2024,9495.8
01JAQ4GD6Z749YET6TA9RVW4YW,140,42a228bf1e858b694526af7b3479eaa00c392604,credit,Account exceeded transaction limit,4/2/2024,5697.26
01JAQ4GD6Z1QGY4BQV5X2REBPC,141,74915e18f47c5a3492c1ea3d1a9614064c4499ab,investment,Account exceeded transaction limit,4/9/2024,4611.24
01JAQ4GD70ZQTSNFTY3ZQGQ6H3,142,9fcbc5d4e035e71e69923f1c826dc91a7a37e9b1,savings,Account exceeded transaction limit,8/29/2024,7426.03
01JAQ4GD7034CHHWDRQVATSJSV,143,82c65c5425de8633bdda30d52b41ea2e978bfde5,savings,Account exceeded transaction limit,8/31/2024,2434.59
01JAQ4GD7199ZTCVENW9MYS7GV,144,6437ac1e4aced997ea1e646a5fa3614b64b1bb4e,credit,Account temporarily restricted due to security concerns,10/4/2024,6553.6
01JAQ4GD727FXKRXCMCY5G5BVM,145,4ada7d2e5479ac4369c509e25c7e8615d9b30635,savings,Account temporarily restricted due to security concerns,5/22/2024,7965.43
01JAQ4GD72F8TA5E8J502JAE38,146,656a6ce449327a6b80002e7f5abae42ed367e27d,savings,Account under review for suspicious activity,5/2/2024,3745.47
01JAQ4GD739RPRJH7E3YSMW2W7,147,a32f53f50e12f6ddb35cb543ec21aa34e39ad236,savings,Account under review for suspicious activity,2/19/2024,160.01
01JAQ4GD742EP9EYA65BPX0EFT,148,66cc29598e3dc16a029b56ad331170aa1d1a4787,checking,Account under review for suspicious activity,2/22/2024,1663.18
01JAQ4GD758ZD6AEQ49CPVGG2K,149,4319fa59352fea1650ded9d7dae74aca86d088f4,savings,Account temporarily restricted due to security concerns,4/16/2024,4875.1
01JAQ4GD76H0TT9MMA155DDM02,150,335c4e4cf25802ab197cbc0bc2f9b8449c553c39,investment,Account under review for suspicious activity,7/2/2024,7732.76
01JAQ4GD765QNEMBCYTB90MV7Z,151,ad9b1c7ad544b0fbb81a14900ff2b0f234353f52,credit,Account exceeded transaction limit,5/1/2024,5327.25
01JAQ4GD774SDPQHJZYGZ7QX67,152,a96c0dd6c2d128e0f1cc82cc81e773c68c8b12c9,credit,Account under review for suspicious activity,7/12/2024,2101.49
01JAQ4GD77TK4TZD96T24WYCVP,153,9a59edc1a4ebd08d74f087ebf7a48786b564ea42,credit,Account under review for suspicious activity,10/22/2023,9960.29
01JAQ4GD78NW0XSX9JNRGJJ91V,154,2912ebb2e171805a02a8e6ffa33d1e8a27095610,checking,Account exceeded transaction limit,7/6/2024,4342.12
01JAQ4GD79W89ZJZ1C0Z6WR5JP,155,6d60c7305bbecacf9cb1e7c84ab80eb1a0878d3e,savings,Account under review for suspicious activity,4/17/2024,4174.34
01JAQ4GD7AGTMJ6W6FZTHVARTJ,156,fa7bd5a12ae494fb7874a285819e8ac43abd0606,savings,Account temporarily restricted due to security concerns,8/5/2024,4589.06
01JAQ4GD7A67X2QX7Z1JK3BC0G,157,0f747490d07b6c607912b3398c33b3e107e7f158,checking,Account exceeded transaction limit,2/27/2024,7501.77
01JAQ4GD7BD3H2SVJSAN44Y0GJ,158,25a0d4edd62c5ff03d35fb26225a16af4ee09c06,savings,Account exceeded transaction limit,4/26/2024,6082.69
01JAQ4GD7CNH12PVATZ9ME0EHM,159,578714eb8e66eebbc35fbc77e9dd6730d721e05e,savings,Account under review for suspicious activity,6/8/2024,8230.53
01JAQ4GD7DVKQ7Q6N74YTAQH9Q,160,119abf9a1c13f5c9ba6d724457d8b75c05f0034e,checking,Account under review for suspicious activity,9/2/2024,1429.96
01JAQ4GD7D0JMZG4KERHFA20KD,161,577061d3f78b38e65b858723651ddb74190907c4,checking,Account exceeded transaction limit,4/26/2024,1034.73
01JAQ4GD7E1H7R89J5E42WYBFP,162,929442ec1eda08e17a0bf5a25cc22ead39879d98,investment,Account temporarily restricted due to security concerns,1/21/2024,6982.54
01JAQ4GD7EA4C81C8GQWNZW2QB,163,ed60d0df57f1c8005b63c5042bd4c558ac8f4f97,savings,Account exceeded transaction limit,5/1/2024,3864.74
01JAQ4GD7FR37YJHWEHSYN7R1S,164,bd179f9564f4a5bc360a19e4a71deb7c0b053d26,savings,Account temporarily restricted due to security concerns,10/28/2023,6930.47
01JAQ4GD7GWWYQD4CB5D8P81M9,165,4714651b8e1501649a1f60da69fd99b8dd2d7cf0,checking,Account temporarily restricted due to security concerns,4/7/2024,6560.69
01JAQ4GD7HART36CMMW32M1Z38,166,a2cb0257f00a6749798ff71a6e89e9892b7700f7,checking,Account under review for suspicious activity,4/6/2024,8893.26
